"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/18/2013","AQS","515100021","1","2.1","ppb","3","City of Alexandria Transportation and Env. Services Maintenance Bldg","23","96.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/19/2013","AQS","515100021","1","-0.2","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/20/2013","AQS","515100021","1","1","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/21/2013","AQS","515100021","1","1.5","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/22/2013","AQS","515100021","1","0.1","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/23/2013","AQS","515100021","1","3.1","ppb","4","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/24/2013","AQS","515100021","1","0.7","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","21","88.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/25/2013","AQS","515100021","1","1","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/26/2013","AQS","515100021","1","0.8","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/27/2013","AQS","515100021","1","1.2","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/28/2013","AQS","515100021","1","0.7","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/29/2013","AQS","515100021","1","0","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/30/2013","AQS","515100021","1","-0.2","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"05/01/2013","AQS","515100021","1","0.8","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"05/02/2013","AQS","515100021","1","0","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","21","88.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"05/03/2013","AQS","515100021","1","0","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"05/04/2013","AQS","515100021","1","0","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
