"Group.1","x"
"10/23/2019",4.08
"10/23/2020",-1.21
"10/24/2011",-0.16
"10/24/2012",0.0525
"10/24/2013",5.3275
"10/24/2014",4.985
"10/24/2015",-4.6275
"10/24/2016",4.1175
"10/24/2017",-0.7425
"10/24/2018",4.1125
"10/24/2019",0.985
"10/24/2020",0.97
"10/25/2011",4.465
"10/25/2012",-2.68
"10/25/2013",5.8325
"10/25/2014",3.2325
"10/25/2015",2.0325
"10/25/2016",5.485
"10/25/2017",1.435
"10/25/2018",2.5975
"10/25/2019",0.9725
"10/25/2020",-1.865
"10/26/2011",2.08
"10/26/2012",-3.5525
"10/26/2013",4.9875
"10/26/2014",3.755
"10/26/2015",-0.6925
"10/26/2016",-0.51
"10/26/2017",2.2875
"10/26/2018",-1.755
"10/26/2019",0.215
"10/26/2020",-0.765
"10/27/2011",0.8
"10/27/2012",-3.515
"10/27/2013",3.6525
"10/27/2014",2.1225
"10/27/2015",-3.8375
"10/27/2016",-2.4825
"10/27/2017",1.84
"10/27/2018",-1.49
"10/27/2019",-3.2025
"10/27/2020",-0.4825
"10/28/2011",-0.83
"10/28/2012",-2.1075
"10/28/2013",-2.8125
"10/28/2014",1.475
"10/28/2015",-7.095
"10/28/2016",5.1725
"10/28/2017",0.15
"10/28/2018",2.3375
"10/28/2019",1.0375
"10/28/2020",-0.075
"10/29/2011",-2.23
"10/29/2012",2.285
"10/29/2013",-2.3275
"10/29/2014",2.1175
"10/29/2015",1.285
"10/29/2016",2.56
"10/29/2017",-2.38
"10/29/2018",3.0925
"10/29/2019",-3.5975
"10/29/2020",-3.495
"10/3/2011",2.62
"10/3/2012",0.86
"10/3/2013",1.1025
"10/3/2014",-3.085
"10/3/2015",-6.2175
"10/3/2016",0.6825
"10/3/2017",-2.9375
"10/3/2018",2.8275
"10/3/2019",-1.9425
"10/3/2020",3.02
"10/30/2011",3.1825
"10/30/2012",4.7625
"10/30/2013",-1.9975
"10/30/2014",2.3475
"10/30/2015",3.0925
"10/30/2016",3.9025
"10/30/2017",6.8725
"10/30/2018",4.34
"10/30/2019",-2.18
"10/30/2020",0.9575
"10/31/2011",-1.225
"10/31/2012",2.045
"10/31/2013",-0.41
"10/31/2014",-1.15
"10/31/2015",1.405
"10/31/2016",1.5575
"10/31/2017",3.0075
"10/31/2018",1.92
"10/31/2019",-1.0575
"10/31/2020",-1.07
"10/4/2011",2.9525
"10/4/2012",1.0225
"10/4/2013",0.7
"10/4/2014",0.835
"10/4/2015",-7.5675
"10/4/2016",-2.3575
"10/4/2017",-0.255
"10/4/2018",-1.1975
"10/4/2019",-0.195
"10/4/2020",-0.775
"10/5/2011",5.2325
"10/5/2012",2.9175
"10/5/2013",1.1275
"10/5/2014",2.4475
"10/5/2015",-4.1675
"10/5/2016",-5.185
"10/5/2017",3.135
"10/5/2018",-1.5325
"10/5/2019",-4.08
"10/5/2020",1.6225
"10/6/2011",-1.5625
"10/6/2012",2.255
"10/6/2013",0.0225
"10/6/2014",0.645
"10/6/2015",-0.9475
"10/6/2016",-2.0725
"10/6/2017",1.1
"10/6/2018",-1.585
"10/6/2019",-1.525
"10/6/2020",0.6375
"10/7/2011",-0.2475
"10/7/2012",-0.24
"10/7/2013",-0.675
"10/7/2014",0.8325
"10/7/2015",1.505
"10/7/2016",-3.665
